"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","high school","standard","none","68","59","57"
"female","group C","some college","standard","completed","50","57","62"
"male","group B","some high school","standard","none","63","57","56"
"female","group C","some college","free/reduced","none","57","75","71"
"male","group D","some college","free/reduced","none","64","64","61"
"female","group A","master's degree","free/reduced","none","81","91","92"
"female","group C","bachelor's degree","standard","none","61","69","74"
"female","group E","some college","free/reduced","none","64","86","79"
"female","group D","some high school","free/reduced","completed","61","79","83"
"male","group D","bachelor's degree","standard","none","74","72","67"
"female","group C","high school","standard","none","65","65","73"
"male","group D","high school","free/reduced","completed","68","69","72"
"female","group C","some college","standard","none","53","64","66"
"female","group C","associate's degree","standard","none","66","70","65"
"female","group B","high school","standard","none","56","60","70"
"male","group D","associate's degree","standard","completed","77","70","69"
"male","group C","high school","standard","none","83","77","78"
"male","group A","high school","standard","none","51","57","44"
"male","group C","master's degree","standard","none","56","55","49"
"male","group D","bachelor's degree","standard","none","78","68","67"
"male","group C","master's degree","free/reduced","none","56","49","51"
"female","group C","master's degree","standard","none","75","81","81"
"female","group D","high school","free/reduced","none","52","75","68"
"male","group E","master's degree","standard","none","87","76","75"
"female","group D","some college","standard","completed","78","93","91"
"male","group D","master's degree","standard","none","66","69","65"
"female","group D","bachelor's degree","free/reduced","none","61","75","74"
"female","group C","some high school","standard","completed","50","58","63"
"male","group C","some high school","standard","completed","62","58","54"
"male","group C","high school","standard","none","77","74","77"
"male","group C","some college","standard","completed","68","74","71"
"female","group D","bachelor's degree","free/reduced","none","46","58","56"
"female","group D","some high school","standard","none","79","86","87"
"male","group A","associate's degree","standard","none","61","64","61"
"male","group B","some high school","standard","none","52","50","47"
"female","group D","associate's degree","standard","none","74","77","81"
"male","group B","bachelor's degree","free/reduced","none","60","55","55"
"female","group B","bachelor's degree","standard","none","65","68","72"
"male","group A","some high school","standard","none","86","78","81"
"female","group D","some college","standard","completed","81","94","99"
"female","group B","some college","standard","none","68","80","79"
"male","group C","some college","free/reduced","completed","46","45","54"
"male","group C","high school","free/reduced","none","67","62","56"
"female","group E","associate's degree","standard","none","67","65","59"
"female","group E","high school","standard","completed","80","76","84"
"female","group E","some high school","standard","none","70","77","72"
"female","group E","high school","free/reduced","none","66","68","71"
"female","group D","associate's degree","standard","none","58","65","69"
"female","group E","some high school","standard","none","91","94","90"
"male","group E","some college","standard","none","97","94","91"
"male","group D","associate's degree","standard","none","86","81","80"
"male","group C","associate's degree","standard","none","58","45","53"
"female","group C","bachelor's degree","free/reduced","none","66","65","70"
"male","group E","associate's degree","free/reduced","none","75","75","75"
"female","group C","bachelor's degree","free/reduced","none","71","91","88"
"male","group C","some high school","free/reduced","none","76","81","72"
"female","group D","high school","standard","none","74","89","80"
"female","group A","some high school","standard","completed","31","40","38"
"male","group C","some high school","free/reduced","none","54","60","55"
"female","group D","some college","free/reduced","completed","52","78","77"
"female","group A","some college","standard","none","62","76","74"
"male","group E","master's degree","standard","completed","71","63","71"
"female","group D","some college","free/reduced","completed","70","88","90"
"male","group A","master's degree","standard","none","74","77","76"
"female","group D","associate's degree","free/reduced","none","74","77","74"
"female","group E","some high school","free/reduced","none","48","63","59"
"male","group B","some college","free/reduced","none","45","43","38"
"female","group D","some college","standard","none","57","67","71"
"female","group C","some high school","standard","none","37","60","56"
"male","group D","bachelor's degree","standard","none","100","85","92"
"male","group D","some college","free/reduced","none","44","46","42"
"female","group E","master's degree","standard","none","56","58","61"
"female","group C","some college","free/reduced","none","61","66","70"
"female","group B","associate's degree","free/reduced","none","20","39","29"
"female","group B","high school","standard","none","77","71","69"
"male","group E","some high school","free/reduced","none","45","37","34"
"male","group C","high school","free/reduced","none","59","60","57"
"male","group D","high school","standard","completed","61","64","57"
"male","group C","some college","free/reduced","completed","68","71","70"
"male","group C","bachelor's degree","standard","none","69","66","60"
"female","group E","high school","standard","completed","63","64","63"
"male","group D","some high school","standard","none","65","63","65"
"female","group D","some high school","free/reduced","none","27","45","44"
"male","group E","associate's degree","standard","none","100","83","79"
"female","group C","some college","standard","none","76","72","67"
"female","group C","some college","free/reduced","none","75","70","73"
"male","group D","bachelor's degree","standard","completed","91","88","87"
"male","group C","high school","standard","none","78","70","64"
"male","group B","some college","standard","none","61","57","55"
"male","group A","associate's degree","standard","none","63","71","61"
"male","group E","some high school","standard","none","100","87","87"
"female","group C","some college","standard","none","74","75","85"
"female","group C","some high school","free/reduced","none","26","25","29"
"female","group C","associate's degree","standard","none","61","62","63"
"female","group B","associate's degree","free/reduced","completed","65","92","90"
"male","group D","some high school","standard","none","60","60","51"
"male","group C","some high school","free/reduced","none","34","38","29"
"male","group E","some college","standard","completed","74","72","71"
"male","group A","some high school","free/reduced","completed","56","65","62"
"male","group D","some high school","standard","none","79","79","81"
